dataset,seed,gravity,optuna,winner
anneal,80,0.08034359963157119,0.07582130624172402,optuna
anneal,81,0.07792981492437744,0.07343652765860216,optuna
anneal,82,0.07459852443012643,0.07483837148042555,gravity
credit-g,80,0.22175213675213679,0.22123931623931625,optuna
credit-g,81,0.2137179487179488,0.22273504273504285,gravity
credit-g,82,0.2202991452991454,0.2220940170940171,gravity
diabetes,80,0.15883534136546185,0.15488621151271753,optuna
diabetes,81,0.15542168674698797,0.15274431057563587,optuna
diabetes,82,0.1607764390896922,0.15850066934404283,optuna
